"rank","city","state","pop.2013","pop.2010","change","area.sqm","density","city.state","num.bike","per.bike","margin.bike","num.walk","per.walk","margin.walk","per.bike.walk"
1,"New York","New York",8405837,8175133,2.82,302.6,27012,"New York, New York",28458,0.8,0.1,378352,10.3,0.1,11.1
2,"Los Angeles","California",3884307,3792621,2.42,468.7,8092,"Los Angeles, California",17244,1,0.1,63917,3.7,0.1,4.7
3,"Chicago","Illinois",2718782,2695598,0.86,227.6,11842,"Chicago, Illinois",15686,1.3,0.1,77753,6.4,0.2,7.7
4,"Houston","Texas",2195914,2100263,4.55,599.6,3501,"Houston, Texas",4220,0.4,0.1,21092,2.1,0.1,2.5
5,"Philadelphia","Pennsylvania",1553165,1526006,1.78,134.1,11379,"Philadelphia, Pennsylvania",11755,2,0.2,51760,8.6,0.3,10.6
6,"Phoenix","Arizona",1513367,1445632,4.69,516.7,2798,"Phoenix, Arizona",4640,0.7,0.1,11800,1.8,0.1,2.5
7,"San Antonio","Texas",1409019,1327407,6.15,460.9,2880,"San Antonio, Texas",1011,0.2,0.1,12048,2,0.1,2.2
8,"San Diego","California",1355896,1307402,3.71,325.2,4020,"San Diego, California",5885,0.9,0.1,18537,2.9,0.2,3.8
9,"Dallas","Texas",1257676,1197816,5,340.5,3518,"Dallas, Texas",821,0.1,0.1,10289,1.8,0.1,1.9
10,"San Jose","California",998537,945942,5.56,176.5,5359,"San Jose, California",4023,0.9,0.1,7915,1.8,0.2,2.7
11,"Austin","Texas",885400,790390,12.02,297.9,2653,"Austin, Texas",6251,1.5,0.2,10737,2.5,0.2,4
12,"Indianapolis","Indiana",843393,820445,2.8,361.4,2270,"Indianapolis, Indiana",1617,0.4,0.1,7733,2,0.2,2.4
13,"Jacksonville","Florida",842583,821784,2.53,747,1120,"Jacksonville, Florida",1676,0.4,0.1,5371,1.4,0.2,1.8
14,"San Francisco","California",837442,805235,4,46.9,17179,"San Francisco, California",14833,3.4,0.2,43363,9.9,0.4,13.3
15,"Columbus","Ohio",822553,787033,4.51,217.2,3624,"Columbus, Ohio",2780,0.7,0.1,11023,2.8,0.2,3.5
16,"Charlotte","North Carolina",792862,731424,8.4,297.7,2457,"Charlotte, North Carolina",682,0.2,0.1,7705,2.1,0.2,2.3
17,"Fort Worth","Texas",792727,741206,6.95,339.8,2181,"Fort Worth, Texas",488,0.1,0.1,3859,1.2,0.2,1.3
18,"Detroit","Michigan",688701,713777,-3.51,138.8,5144,"Detroit, Michigan",655,0.3,0.1,6589,3.1,0.3,3.4
19,"El Paso","Texas",674433,649121,3.9,255.2,2543,"El Paso, Texas",413,0.2,0.1,5175,1.9,0.2,2.1
20,"Memphis","Tennessee",653450,646889,1.01,315.1,2053,"Memphis, Tennessee",441,0.2,0.1,5280,1.9,0.2,2.1
21,"Seattle","Washington",652405,608660,7.19,83.9,7251,"Seattle, Washington",11970,3.4,0.2,31863,9.1,0.3,12.5
22,"Denver","Colorado",649495,600158,8.22,153,3923,"Denver, Colorado",7019,2.3,0.2,13670,4.4,0.3,6.7
23,"Washington","District of Columbia",646449,601723,7.43,61,9856,"Washington, District of Columbia",9347,3.1,0.2,37055,12.1,0.5,15.2
24,"Boston","Massachusetts",645966,617594,4.59,48.3,12793,"Boston, Massachusetts",5260,1.7,0.2,47880,15.1,0.5,16.8
25,"Nashville","Tennessee",634464,601222,5.53,475.1,1265,"Nashville, Tennessee",925,0.3,0.1,5683,1.9,0.2,2.2
26,"Baltimore","Maryland",622104,620961,0.18,80.9,7672,"Baltimore, Maryland",2174,0.8,0.1,17168,6.5,0.4,7.3
27,"Oklahoma City","Oklahoma",610613,579999,5.28,606.4,956,"Oklahoma City, Oklahoma",494,0.2,0.1,4464,1.6,0.2,1.8
28,"Louisville","Kentucky",609893,597337,2.1,325.2,1837,"Louisville, Kentucky",NA,NA,NA,NA,NA,NA,NA
